,win,firstBlood,firstTower,firstInhibitor,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameId
40241,Win,TRUE,TRUE,TRUE,11,2,1,4,2,4243076204
40242,Win,FALSE,TRUE,TRUE,7,1,1,2,1,4242829589
40243,Win,TRUE,TRUE,TRUE,7,1,0,1,0,4236367130
40244,Win,TRUE,TRUE,TRUE,6,1,0,1,0,4236404161
40245,Win,FALSE,TRUE,TRUE,7,1,0,1,2,4236381544
40246,Win,FALSE,FALSE,TRUE,7,1,1,2,1,4236268385
40248,Win,FALSE,TRUE,TRUE,7,1,0,2,1,4236109654
40254,Win,TRUE,FALSE,TRUE,9,3,1,2,0,4157403250
40256,Win,TRUE,FALSE,FALSE,7,1,2,2,0,4157308649
40257,Win,FALSE,TRUE,TRUE,8,1,2,3,1,4157239355
40260,Win,FALSE,TRUE,TRUE,8,1,0,2,1,4144388981
40261,Win,TRUE,TRUE,TRUE,9,1,0,1,1,4144386487
40262,Win,FALSE,FALSE,TRUE,6,1,1,0,0,4144420701
40263,Win,FALSE,TRUE,TRUE,9,1,0,1,1,4144307611
40264,Win,FALSE,TRUE,TRUE,8,1,1,1,1,4144301591
40265,Win,TRUE,TRUE,TRUE,6,1,0,2,1,4144270146
40266,Win,FALSE,TRUE,FALSE,5,0,0,2,0,4144144301
40267,Win,TRUE,TRUE,TRUE,7,1,0,1,1,4144115256
40268,Win,TRUE,FALSE,TRUE,6,1,2,3,1,4143946188
40269,Win,TRUE,TRUE,TRUE,10,1,1,2,2,4143876381
40270,Win,TRUE,TRUE,TRUE,6,1,0,1,1,4143831554
40271,Win,FALSE,TRUE,TRUE,10,3,1,3,1,4143771915
40272,Win,TRUE,TRUE,TRUE,9,2,1,3,1,4143422720
40273,Win,FALSE,TRUE,TRUE,7,1,0,2,1,4143291302
40274,Win,FALSE,TRUE,TRUE,9,1,1,4,1,4143123951
40275,Win,FALSE,TRUE,FALSE,6,1,1,2,1,4143038138
40276,Win,TRUE,FALSE,FALSE,7,1,2,0,0,4143021053
40277,Win,FALSE,TRUE,TRUE,11,2,1,4,2,4142944616
40278,Win,TRUE,TRUE,TRUE,7,1,0,1,1,4142927947
40279,Win,TRUE,TRUE,TRUE,9,3,1,1,1,4142930994
40280,Win,FALSE,TRUE,FALSE,5,0,1,2,1,4137409913
40281,Win,FALSE,FALSE,TRUE,11,3,1,4,1,4137385565
40283,Win,TRUE,TRUE,TRUE,8,2,0,0,1,4133800763
40284,Win,FALSE,TRUE,TRUE,10,2,1,2,0,4132520348
40285,Win,TRUE,TRUE,TRUE,5,1,1,2,1,4132464386
40286,Win,TRUE,TRUE,TRUE,8,1,1,3,0,4132408156
40287,Win,FALSE,TRUE,TRUE,10,2,0,2,0,4132372345
40288,Win,TRUE,TRUE,FALSE,7,0,0,2,2,4132327351
40289,Win,TRUE,TRUE,FALSE,6,0,0,2,1,4131390788
40290,Win,FALSE,TRUE,TRUE,7,1,1,4,0,4131321364
40291,Win,TRUE,FALSE,TRUE,8,1,1,2,1,4129481845
40292,Win,FALSE,TRUE,FALSE,5,0,0,2,0,4129386202
40293,Win,TRUE,TRUE,TRUE,8,1,0,1,1,4129371037
40294,Win,FALSE,FALSE,TRUE,8,2,2,2,1,4129274843
40295,Win,TRUE,TRUE,TRUE,10,1,1,1,2,4129224994
40296,Win,TRUE,TRUE,TRUE,11,2,1,4,2,4129099552
40297,Win,TRUE,TRUE,TRUE,9,1,0,0,0,4129079666
40298,Win,FALSE,TRUE,TRUE,7,1,0,1,2,4128586809
40299,Win,TRUE,FALSE,TRUE,7,1,0,3,1,4128580298
40301,Win,FALSE,TRUE,TRUE,8,1,0,1,1,4256795082
40302,Win,TRUE,TRUE,TRUE,9,1,0,2,1,4256694920
40305,Win,TRUE,TRUE,TRUE,9,1,1,3,1,4253425150
40307,Win,TRUE,TRUE,TRUE,7,1,0,3,2,4246033718
40308,Win,TRUE,TRUE,TRUE,8,1,0,3,2,4245945028
40311,Win,TRUE,FALSE,TRUE,9,3,0,3,1,4245429958
40312,Win,TRUE,TRUE,TRUE,11,3,0,2,0,4245425564
40316,Win,FALSE,TRUE,FALSE,5,0,0,2,1,4238670661
40317,Win,FALSE,FALSE,TRUE,8,1,1,3,1,4237636999
40318,Win,TRUE,TRUE,TRUE,7,1,1,4,0,4237026540
40319,Win,TRUE,TRUE,FALSE,6,0,1,3,1,4236951288
40321,Win,FALSE,TRUE,TRUE,9,1,1,4,1,4233784722
40322,Win,TRUE,FALSE,FALSE,7,0,0,3,0,4232591000
40323,Win,FALSE,FALSE,FALSE,7,1,1,2,0,4232451992
40324,Win,TRUE,FALSE,TRUE,9,2,1,4,0,4232307942
40325,Win,TRUE,TRUE,TRUE,10,2,0,3,2,4232184900
40326,Win,TRUE,FALSE,TRUE,7,1,1,3,1,4232125746
40328,Win,FALSE,TRUE,TRUE,8,1,0,2,1,4231960650
40331,Win,FALSE,TRUE,TRUE,8,1,1,2,0,4231332737
40332,Win,TRUE,TRUE,FALSE,6,0,1,3,0,4231183573
40333,Win,TRUE,FALSE,TRUE,11,2,1,4,0,4230928362
40335,Win,TRUE,TRUE,TRUE,9,2,1,2,1,4229013600
40336,Win,TRUE,FALSE,TRUE,9,2,2,4,0,4228743035
40337,Win,TRUE,FALSE,TRUE,9,1,0,3,1,4228702123
40338,Win,FALSE,TRUE,TRUE,9,3,1,4,0,4228571655
40339,Win,TRUE,TRUE,FALSE,6,0,0,2,1,4228516682
40340,Win,TRUE,TRUE,TRUE,10,2,1,3,2,4227829052
40341,Win,TRUE,TRUE,FALSE,7,1,0,4,2,4227742882
40343,Win,FALSE,TRUE,TRUE,8,1,0,2,0,4227549423
40344,Win,FALSE,FALSE,TRUE,9,2,1,6,0,4227179854
40345,Win,TRUE,TRUE,TRUE,10,2,1,3,1,4226945366
40346,Win,FALSE,TRUE,TRUE,6,1,1,2,1,4226907389
40347,Win,TRUE,FALSE,TRUE,11,3,1,4,1,4226527984
40348,Win,TRUE,TRUE,FALSE,7,0,1,3,0,4226442917
40349,Win,TRUE,TRUE,TRUE,10,2,0,3,2,4226426056
40351,Win,TRUE,FALSE,TRUE,10,2,2,3,0,4255060311
40352,Win,TRUE,TRUE,TRUE,8,2,0,4,2,4247206758
40353,Win,FALSE,TRUE,TRUE,9,2,1,2,0,4246955150
40361,Win,FALSE,TRUE,TRUE,7,1,1,0,2,4239404429
40364,Win,FALSE,TRUE,TRUE,8,1,1,3,1,4238956555
40365,Win,TRUE,TRUE,TRUE,7,1,1,1,1,4238848289
40366,Win,FALSE,FALSE,TRUE,5,1,1,3,1,4234655957
40367,Win,FALSE,TRUE,TRUE,7,1,0,3,2,4234494460
40368,Win,TRUE,TRUE,TRUE,10,2,0,1,1,4234420885
40369,Win,FALSE,FALSE,TRUE,10,1,1,1,1,4234262032
40370,Win,TRUE,FALSE,TRUE,9,2,1,3,1,4232739264
40371,Win,TRUE,TRUE,TRUE,8,1,1,2,2,4232558979
40372,Win,FALSE,FALSE,TRUE,7,1,1,2,2,4232498212
40373,Win,FALSE,TRUE,TRUE,9,2,2,3,2,4232348816
40374,Win,TRUE,TRUE,TRUE,7,1,0,1,1,4230758721
40375,Win,FALSE,FALSE,TRUE,8,1,1,2,2,4230691110
40377,Win,TRUE,TRUE,TRUE,11,2,0,3,2,4227455878
40378,Win,FALSE,TRUE,TRUE,7,1,0,0,1,4227524050
40379,Win,FALSE,TRUE,TRUE,7,1,0,2,1,4227512155
40380,Win,FALSE,TRUE,TRUE,11,3,1,4,2,4227418710
40381,Win,TRUE,TRUE,TRUE,9,1,0,2,1,4227355410
40382,Win,FALSE,FALSE,FALSE,8,1,1,1,0,4220918284
40383,Win,TRUE,TRUE,TRUE,6,1,0,0,1,4220945827
40384,Win,FALSE,TRUE,TRUE,10,2,1,4,1,4220859026
40385,Win,TRUE,TRUE,TRUE,8,1,1,3,2,4220793719
40386,Win,TRUE,TRUE,TRUE,10,2,0,1,2,4220618232
40387,Win,TRUE,TRUE,TRUE,5,1,0,2,1,4216017448
40389,Win,TRUE,TRUE,FALSE,5,0,0,2,0,4215954671
40390,Win,TRUE,FALSE,TRUE,10,2,0,2,0,4215819430
40392,Win,TRUE,TRUE,TRUE,11,3,1,4,2,4211740800
40394,Win,FALSE,FALSE,TRUE,7,1,1,3,1,4211555192
40397,Win,TRUE,TRUE,FALSE,5,0,0,1,0,4209439578
40398,Win,TRUE,TRUE,TRUE,8,1,0,2,0,4209398332
40399,Win,TRUE,FALSE,TRUE,8,1,0,1,1,4209441311
40400,Win,TRUE,TRUE,TRUE,5,1,0,2,1,4209119515
40402,Win,FALSE,FALSE,TRUE,10,1,1,2,0,4208854565
40403,Win,TRUE,TRUE,TRUE,9,1,0,3,2,4205075538
40404,Win,FALSE,TRUE,TRUE,10,3,2,3,2,4205014232
40405,Win,TRUE,TRUE,TRUE,8,1,0,1,1,4205052314
40406,Win,TRUE,FALSE,TRUE,8,2,1,3,1,4204814778
40407,Win,TRUE,TRUE,TRUE,8,1,0,2,1,4204871589
40408,Win,FALSE,TRUE,TRUE,6,1,0,2,1,4204658515
40409,Win,TRUE,TRUE,TRUE,9,1,1,1,2,4204642921
40410,Win,FALSE,TRUE,TRUE,6,1,0,2,1,4204557143
40411,Win,TRUE,FALSE,TRUE,7,2,0,1,2,4204610793
40412,Win,FALSE,FALSE,TRUE,7,1,0,3,1,4199877973
40413,Win,TRUE,TRUE,TRUE,8,1,1,3,2,4199823891
40416,Win,FALSE,FALSE,TRUE,9,1,0,2,1,4199568802
40417,Win,TRUE,TRUE,FALSE,5,0,0,3,1,4199549653
40418,Win,TRUE,TRUE,TRUE,7,1,1,3,2,4197405930
40419,Win,TRUE,FALSE,TRUE,7,1,1,3,1,4197380276
40420,Win,FALSE,FALSE,TRUE,11,4,2,2,0,4197350238
